lacode,cumulativecases,incidencerate,Environment_Score,Income_Score,Education_Score,Health_Score,Employment_Score,Crime_Score,Housing_and_Access_Score,imd_Score
E07000135,21850,38124,9.13,0.086,17.704,-0.189,0.071,-0.436,16.681,12.958
E07000136,23075,32574.8,21.222,0.128,42.053,0.083,0.101,-0.541,20.896,22.967
E07000137,42604,29996.5,26.393,0.162,32.359,0.571,0.148,-0.604,24.4,29.892
E07000138,36798,36780,15.438,0.155,30.752,0.653,0.121,0.101,22.459,26.889
E07000139,40772,34509,13.252,0.081,13.244,-0.602,0.071,-1.406,19.975,11.553
E07000140,30831,32163.5,14.623,0.103,32.664,-0.214,0.084,-0.744,23.983,17.896
E07000141,50309,35125.9,13.151,0.091,15.959,-0.525,0.074,-0.937,22.907,13.499
E07000142,32494,33782.5,21.565,0.123,19.889,-0.049,0.109,-0.84,23.524,20.355
E07000143,43952,31115.4,18.319,0.1,33.049,-0.038,0.086,-0.586,25.799,19.614
E07000144,45345,34370.2,15.325,0.072,16.17,-0.533,0.069,-1.059,21.599,11.817
E07000145,34313,34590.4,24.196,0.184,42.049,0.587,0.162,0.074,20.752,33.097
E07000146,49406,32666.2,23.673,0.12,33.164,0.426,0.103,-0.679,25.552,23.72
E07000147,27723,26360.9,30.109,0.106,24.231,-0.021,0.095,-1.041,31.664,21.058
E07000148,50329,35398.8,19.993,0.163,34.178,0.689,0.116,0.237,14.13,27.599
E07000149,46742,32671.6,22,0.078,15.43,-0.625,0.067,-0.911,25.116,13.318
E07000150,29167,39925.8,8.937,0.136,39.075,0.61,0.113,0.025,24.621,25.706
E07000151,30854,35484.4,15.251,0.073,17.363,-0.57,0.061,-0.155,23.765,13.184
E07000152,32426,34095.7,14.07,0.084,22.458,-0.492,0.069,-0.349,20.232,13.897
E07000153,38919,38077.1,15.507,0.113,24.256,0.051,0.092,0.009,19.687,19.23
E07000154,86343,38496.1,18.827,0.123,26.477,0.349,0.093,0.462,24.223,23.358
E07000155,33509,35090.9,13.232,0.049,10.543,-1.042,0.043,-0.752,20.473,7.652
E07000156,29006,36220.8,13.821,0.126,29.522,0.14,0.099,0.2,21.549,21.676
E07000163,18791,32772.3,33.925,0.067,12.235,-0.532,0.064,-1.098,18.679,12.76
E07000164,29847,32466.4,22.413,0.067,14.659,-0.789,0.058,-1.235,24.217,11.987
E07000165,58884,36450.5,22.427,0.062,10.342,-0.611,0.056,-0.964,21.472,10.897
E07000166,16829,31320.3,19.284,0.059,19.463,-0.667,0.05,-1.393,27.967,12.135
E07000167,16013,28785.3,34.572,0.082,18.379,-0.551,0.064,-1.334,26.968,15.665
E07000168,34631,31848.4,28.305,0.145,29.336,0.499,0.129,-0.462,19.536,26.28
E07000169,32894,35872.5,14.733,0.079,18.669,-0.523,0.07,-0.802,19.017,12.73
E07000170,47274,36835.8,11.255,0.152,35.49,0.542,0.132,0.193,16.32,26.308
E07000171,43797,37028.2,14.867,0.122,27.32,0.419,0.114,0.002,20.126,22.588
E07000172,42085,36714.7,16.434,0.097,16.417,-0.286,0.084,-0.24,10.671,14.238
E07000173,44829,37913.9,12.855,0.102,18.694,-0.256,0.092,-0.377,14.746,14.894
E07000174,42105,38504.4,12.804,0.156,36.748,0.74,0.144,0.198,17.628,28.503
E07000175,43651,35452,16.017,0.109,25.939,-0.07,0.101,-0.298,20.677,19.227
E07000176,46168,38024.6,12.123,0.059,5.775,-1.135,0.054,-0.911,15.198,7.18
E07000177,58483,38514.7,19.905,0.076,21.259,-0.387,0.059,-0.431,24.32,14.41
E07000178,58149,38360.9,27.418,0.093,16.468,-0.271,0.061,-0.042,23.557,16.707
E07000179,51678,35941.9,15.269,0.054,11.952,-1.24,0.043,-0.774,21.535,8.459
E07000180,49410,35827.7,12.408,0.057,11.619,-1.122,0.048,-1.055,21.93,8.358
E07000181,38730,34655.2,11.238,0.059,13.309,-0.924,0.048,-1.05,22.444,8.684
E07000187,37717,32434.1,19.1,0.099,17.677,-0.254,0.084,-0.242,23.161,16.6
E07000188,42977,34814.4,28.549,0.117,25.31,-0.066,0.1,-0.083,20.938,21.306
E07000189,55574,32943.3,25.018,0.095,20.102,-0.25,0.08,-0.307,24.18,17.347
E07000192,38071,37514.3,15.205,0.127,30.143,0.131,0.105,-0.162,15.309,20.426
E07000193,45673,37770.3,29.436,0.103,22.829,0.043,0.086,-0.213,18.783,19.028
E07000194,38866,36792,11.842,0.084,15.448,-0.432,0.074,-0.595,19.444,12.566
E07000195,46418,35813.6,16.399,0.108,23.163,0.312,0.098,-0.162,13.123,18.929
E07000196,40430,35979.7,17.731,0.086,16.784,-0.484,0.072,-0.425,17.309,13.124
E07000197,51601,37430.5,15.299,0.078,13.947,-0.216,0.075,-0.582,21.42,13.678
E07000198,34048,34592.1,20.639,0.084,18.228,-0.249,0.081,-0.597,19.592,15.04
E07000199,29695,38633.2,10.662,0.126,30.922,0.27,0.096,0.081,19.193,21.061
E07000200,29617,31937.2,19.409,0.08,17.815,-0.693,0.066,-0.362,27.848,14.267
E07000202,49877,36679.9,25.099,0.141,33.404,0.396,0.109,0.409,19.255,25.89
E07000203,32477,30972.7,22.648,0.071,15.8,-0.907,0.056,-0.642,29.028,13.225
E07000207,53528,39010.3,13.087,0.057,7.012,-1.478,0.043,-0.223,19.823,7.944
E07000208,30714,37917.1,13.507,0.056,8.46,-1.138,0.047,-0.057,20.907,8.833
E07000209,52176,34702.6,14.622,0.057,11.311,-0.968,0.045,-0.522,22.506,9.395
E07000210,30929,35328.5,16.585,0.054,9.002,-0.867,0.051,-0.492,23.756,9.511
E07000211,58842,39427,16.324,0.067,11.92,-0.671,0.055,-0.217,23.293,11.276
E07000212,31838,35247.5,18.575,0.066,13.543,-0.78,0.047,-0.095,27.105,12.012
E07000213,39056,39105.7,23.911,0.079,18.213,-0.56,0.061,0.053,26.914,14.943
E07000214,34672,38868.2,9.851,0.054,9.757,-0.95,0.044,-0.653,22.036,8.066
E07000215,32701,36932.8,16.917,0.063,12.767,-0.654,0.054,0.108,23.931,11.896
E07000216,46738,36930.7,9.515,0.054,7.59,-0.917,0.049,-0.751,19.499,7.494
E07000217,40109,40105.8,13.645,0.067,10.152,-0.655,0.055,-0.235,23.576,10.804
E07000218,23536,35959.2,22.43,0.097,25.791,-0.109,0.08,-0.067,21.346,17.907
E07000219,50267,38556.3,18.541,0.136,30.122,0.279,0.113,0.295,17.657,23.54
E07000220,43299,39131.5,17.229,0.087,15.666,-0.395,0.069,-0.064,21.335,14.119
E07000221,45525,34383.9,23.282,0.068,9.137,-0.626,0.056,-0.512,25.426,11.728
E07000222,53802,37128.1,17.826,0.07,9.664,-0.351,0.057,-0.199,21.527,12.005
E07000223,21797,33958.6,20.329,0.108,26.162,-0.055,0.089,-0.366,17.69,17.594
E07000224,55134,34218.6,14.402,0.104,24.399,0.128,0.09,-0.236,24.554,18.638
E07000225,39981,32904,24.211,0.079,14.874,-0.453,0.064,-0.622,25.712,14.085
E07000226,44357,39437.6,14.368,0.11,27.892,-0.082,0.077,0.047,26.824,18.94
E07000227,50193,34503.1,16.75,0.056,9.597,-0.894,0.051,-0.718,25.377,9.89
E07000228,56798,37332.2,12.129,0.053,10.357,-1.227,0.046,-0.674,19.913,7.747
E07000229,39383,35567.7,27.815,0.101,18.582,-0.085,0.09,-0.398,15.978,17.012
E07000234,37015,36805.6,12.136,0.073,11.127,-0.481,0.064,-0.148,19.198,11.697
E07000235,23463,29533.6,27.831,0.092,11.978,-0.603,0.08,-0.431,27.492,16.066
E07000236,31772,37130.7,8.412,0.124,28.201,0.362,0.099,-0.065,29.861,22.524
E07000237,36944,36846.4,26.35,0.117,20.437,0.038,0.092,0.087,19.851,20.414
E07000238,43052,32843.1,22.46,0.085,17.675,-0.559,0.073,-0.323,27.306,15.766
E07000239,34337,33950.3,23.294,0.127,25.827,-0.058,0.108,0.083,23.971,22.437
E07000240,57682,38630.6,11.486,0.06,4.864,-1.31,0.049,-0.262,22.153,8.339
E07000241,43461,35079.5,12.436,0.086,16.161,-0.446,0.063,-0.142,26.247,14.215
E07000242,55416,36509.3,11.087,0.06,8.693,-1.425,0.048,-0.404,20.16,8.188
E07000243,32919,37363.8,11.578,0.122,25.396,-0.094,0.094,0.17,24.367,19.695
E07000244,78029,31165.1,22.849,0.112,24.332,-0.132,0.098,-0.414,20.053,19.56
E07000245,56040,31607.1,14.182,0.081,23.483,-0.32,0.066,-0.315,31.61,16.245
E07000246,52298,33649.2,25.147,0.104,18.929,-0.07,0.089,-0.216,25.368,19.142
E08000001,102468,35548.6,25.702,0.186,26.349,0.589,0.143,0.71,14.162,30.691
E08000002,71499,37491.3,21.779,0.145,18.863,0.308,0.124,0.419,15.122,23.682
E08000003,206628,37180.6,32.229,0.219,28.119,1.198,0.139,1.206,25.867,40.005
E08000004,84633,35615.8,27.966,0.193,35.509,0.663,0.145,0.863,11.841,33.155
E08000005,82203,36753.7,19.437,0.201,31.135,0.842,0.158,0.936,18.234,34.415
E08000006,103390,39357.1,24.23,0.191,30.934,0.995,0.147,0.686,18.988,34.21
E08000007,112826,38350.5,19.783,0.12,17.933,0.355,0.104,0.337,13.719,20.826
E08000008,86342,38016.5,24.589,0.175,29.128,0.855,0.143,0.721,15.518,31.374
E08000009,92167,38794.3,21.069,0.107,10.656,-0.072,0.09,-0.052,13.794,16.088
E08000010,125875,38061.8,13.392,0.148,26.672,0.618,0.131,0.386,12.808,25.713
E08000011,64541,42335.3,27.953,0.251,41.894,1.381,0.202,0.22,18.365,43.006
E08000012,191163,38196.4,42.039,0.235,33.793,1.347,0.176,0.591,14.926,42.412
E08000013,73321,40487.6,18.217,0.182,27.804,1.069,0.165,0.201,12.704,31.518
E08000014,109059,39528.6,24.85,0.162,20.557,0.75,0.148,-0.08,10.865,27.035
E08000015,124890,38506.4,27.427,0.174,21.595,0.962,0.157,-0.053,10.343,29.589
E08000016,96676,38971.1,8.384,0.169,37.029,0.839,0.149,0.514,10.589,29.933
E08000017,117554,37583,13.344,0.166,39.72,0.665,0.137,0.703,16.173,30.289
E08000018,101198,38190.2,14.393,0.168,33.365,0.817,0.144,0.449,13.09,29.55
E08000019,208231,35340.5,20.887,0.156,29.183,0.456,0.116,0.38,17.196,27.06
E08000021,116181,37865.7,12.046,0.178,28.68,0.815,0.128,0.461,17.401,29.79
E08000022,85613,40988.5,5.879,0.144,20.683,0.43,0.122,0.157,15.238,22.279
E08000023,59241,39197.9,4.609,0.206,27.364,0.863,0.172,0.333,15.787,31.509
E08000024,108098,38905.7,4.528,0.192,30.423,0.828,0.161,0.409,13.346,30.586
E08000025,373192,32721.1,40.841,0.222,32.085,0.67,0.153,0.335,31.628,38.067
E08000026,121724,32084.4,32.103,0.154,25.238,0.367,0.105,0.068,21.224,25.613
E08000027,118465,36748.9,24.049,0.156,28.321,0.287,0.124,-0.131,12.587,24.103
E08000028,118658,36061.7,37.156,0.215,36.936,0.705,0.15,0.277,20.866,34.884
E08000029,80141,36848.6,13.257,0.108,18.354,-0.256,0.09,-0.138,21.459,17.37
E08000030,101466,35389,26.678,0.2,37.845,0.562,0.143,0.171,18.097,31.555
E08000031,96568,36522.5,26.558,0.211,31.717,0.607,0.154,0.066,20.63,32.102
E08000032,185993,34307.9,36.543,0.189,37.34,0.632,0.137,0.919,16.485,34.666
E08000033,72757,34410.4,38.369,0.149,21.575,0.264,0.118,0.573,12.989,26.351
E08000034,149890,33966.3,31.195,0.143,25.144,0.166,0.113,0.483,18.323,25.151
E08000035,300187,37580.4,35.006,0.143,26.25,0.415,0.107,0.666,15.464,27.301
E08000036,128353,36506.2,14.29,0.147,35.794,0.539,0.132,0.514,15.797,27.306
E08000037,77297,38275.3,11.259,0.167,26.881,0.824,0.139,0.357,17.644,28.217
E09000001,3123693,34777.3,38.972,0.065,5.457,-0.686,0.052,-1.656,35.656,14.72
E09000002,73881,34506.6,29.103,0.194,25.513,0.204,0.117,0.542,46.252,32.768
E09000003,137621,34490.9,24.662,0.111,7.83,-1.074,0.073,0.082,31.211,16.148
E09000004,88529,35510.9,19.754,0.106,18.331,-0.561,0.077,-0.13,25.879,16.273
E09000005,110486,33710.1,28.694,0.155,15.223,-0.453,0.097,0.428,42.783,25.558
E09000006,119577,35935.8,18.37,0.091,10.551,-0.908,0.068,-0.038,27.839,14.163
E09000007,79356,28390.5,33.469,0.141,10.523,-0.556,0.091,0.325,21.611,20.131
E09000008,135239,34804.9,26.027,0.136,15.577,-0.174,0.092,0.28,33.996,22.477
E09000009,129184,37957.2,30.34,0.14,12.546,-0.326,0.091,0.239,36.52,22.71
E09000010,103877,31139.4,27.479,0.171,20.255,-0.535,0.102,0.199,39.666,25.781
E09000011,98212,33979.4,24.635,0.159,15.639,-0.021,0.102,0.457,32.314,24.464
E09000012,96879,33191.5,36.053,0.196,14.972,0.371,0.114,0.621,42.745,32.526
E09000013,68596,37373.1,35.009,0.142,8.141,-0.05,0.094,0.34,28.264,22.27
E09000014,89840,33729.2,34.361,0.17,17.6,-0.128,0.106,0.732,35.08,27.956
E09000015,89345,35406.9,18.953,0.109,8.044,-1.04,0.067,-0.143,33.882,15.031
E09000016,97212,37295.8,16.749,0.108,22.594,-0.538,0.078,0.13,22.713,16.789
E09000017,111046,35935.6,20.298,0.114,16.402,-0.379,0.075,0.235,29.628,18.223
E09000018,102067,37556.8,29.818,0.129,13.287,-0.27,0.079,0.373,35.101,21.487
E09000019,81088,32681.6,35.373,0.179,12.483,0.274,0.111,0.607,28.204,27.535
E09000020,48731,31065.8,42.014,0.117,5.192,-1.243,0.08,0.331,36.056,21.526
E09000021,65640,36641.3,24.718,0.078,6.938,-0.963,0.053,-0.332,24.744,11.381
E09000022,120289,37378.5,44.402,0.153,10.493,0.148,0.093,0.532,28.43,25.422
E09000023,104029,34073.3,36.405,0.164,13.911,0.067,0.104,0.402,34.751,26.661
E09000024,78731,38135.1,29.557,0.1,9.184,-0.615,0.064,-0.051,22.234,14.649
E09000025,114239,32155.9,32.471,0.169,17.775,-0.03,0.093,0.497,49.306,29.577
E09000026,107167,35061.1,25.177,0.121,11.126,-0.74,0.072,0.295,27.979,17.203
E09000027,72709,36695.6,26.621,0.064,3.534,-1.373,0.05,-0.07,17.494,9.425
E09000028,110907,34656.6,35.982,0.162,11.086,0.112,0.097,0.475,32.727,25.811
E09000029,79677,38360.3,21.317,0.095,11.953,-0.57,0.07,-0.174,22.792,13.987
E09000030,113981,34334.8,33.213,0.192,16.934,0.195,0.1,0.509,30.491,27.913
E09000031,96831,34964.6,34.303,0.152,16.968,-0.161,0.093,0.406,36.465,25.209
E09000032,125806,38153.7,32.499,0.107,6.649,-0.388,0.064,0.118,26.981,16.611
E09000033,74312,27538.5,40.92,0.135,8.535,-0.855,0.088,0.105,23.114,20.339